
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
82:90:BC:59:1D:FA, 2024-11-23 18:55:21, 2024-11-23 18:55:21,  6, 130, WPA2, CCMP, PSK, -86,        0,        2,   0.  0.  0.  0,   4, 5202, 
FA:8F:CA:52:22:BA, 2024-11-23 18:55:21, 2024-11-23 18:55:22,  6,  65, OPN, ,   , -85,        2,        0,   0.  0.  0.  0,  22, Office Room speaker.k,, 
CE:D4:2E:DB:B0:F6, 2024-11-23 18:55:21, 2024-11-23 18:55:23,  1, 720, WPA2, CCMP, PSK, -75,        3,        3,   0.  0.  0.  0,  13, GooseNetGuest, 
8C:83:94:1F:E1:CE, 2024-11-23 18:55:21, 2024-11-23 18:55:21,  1, 260, WPA2, CCMP, PSK, -57,        3,        9,   0.  0.  0.  0,  13, HomeSweetHome, 
B8:3A:9D:38:18:1A, 2024-11-23 18:55:21, 2024-11-23 18:55:21,  1, 130, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,  16, Chime (38:18:1A), 
FA:8F:CA:6B:ED:30, 2024-11-23 18:55:21, 2024-11-23 18:55:23,  1,  65, OPN, ,   , -82,        4,        0,   0.  0.  0.  0,   0, , 
EC:6C:9A:3A:D5:7D, 2024-11-23 18:55:21, 2024-11-23 18:55:21,  1, 720, WPA2, CCMP, PSK, -64,        1,        0,   0.  0.  0.  0,   7, babefam, 
32:3B:86:8D:FC:A6, 2024-11-23 18:55:21, 2024-11-23 18:55:23,  1, 360, WPA2, CCMP, PSK, -68,        5,        0,   0.  0.  0.  0,  10, PiggyPiggy, 
84:A3:29:64:D0:81, 2024-11-23 18:55:21, 2024-11-23 18:55:21,  1, 260, WPA2, CCMP, PSK, -82,        2,        0,   0.  0.  0.  0,   9, TELUS3131, 
CC:D4:2E:EB:B0:F6, 2024-11-23 18:55:21, 2024-11-23 18:55:23,  1, 720, WPA2, CCMP, PSK, -75,        2,        4,   0.  0.  0.  0,   8, GooseNet, 
EC:6C:9A:3A:D5:A9, 2024-11-23 18:55:21, 2024-11-23 18:55:21,  1, 720, WPA2, CCMP, PSK, -72,        1,        0,   0.  0.  0.  0,   7, babefam, 
1A:82:8C:15:CE:01, 2024-11-23 18:55:21, 2024-11-23 18:55:21,  1, 720, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,  13, GooseNetGuest, 
B2:08:21:F6:2C:1B, 2024-11-23 18:55:22, 2024-11-23 18:55:22,  6, 360, WPA2, CCMP, PSK, -80,        2,        0,   0.  0.  0.  0,   3, K9M, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
7C:A6:B0:06:F3:0C, 2024-11-23 18:55:21, 2024-11-23 18:55:22, -55,       10, (not associated) ,OurHomeSweetHome
B8:D7:AF:80:A0:32, 2024-11-23 18:55:21, 2024-11-23 18:55:21, -66,        1, 32:3B:86:8D:FC:A6,

